folio,texto,fecha_presentacion,score_presentacion,agenda_presentacion_id,punto_presentacion_id,num_ramas_nivel1,via,expediente_id,punto_destino_id,tipo_evento_real,fecha_real_destino,fecha_evento_excel,status_destino,cierre_encontrado,fecha_cierre_real,fecha_aprobacion_excel,estado_excel,confianza
841,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
842,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
843,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
844,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
845,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
846,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
847,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
848,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
849,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
850,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
851,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
852,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
853,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
854,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
855,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
856,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
857,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
858,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
859,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
860,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
861,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
862,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
863,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
864,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
865,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
866,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
867,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
868,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
869,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
870,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
871,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
872,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
873,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
874,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
875,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
876,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
877,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
878,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
879,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
880,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
881,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
882,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
883,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
884,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
885,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
886,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
887,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2025-10-15,0.595,82,977,375,expediente,125,2360,Comisión,2025-11-06,2025-11-06,1,no,,2025-11-12,Aprobada,alta
