id_iniciativa,ruta_iniciativa,ruta_decreto
228,storage/iniciativas/222-INIC-COD-PENAL-PRD.pdf,
229,storage/iniciativas/223-INIC-LOMPAL-PRD2.pdf,
230,storage/iniciativas/224-INIC-CONSTITUC-PRD2.pdf,
231,storage/iniciativas/225-INIC-CONST-PRD.pdf,
232,storage/iniciativas/226-INIC-MUJERES-PRD.pdf,
233,storage/iniciativas/227-INIC-COD-PEN-PRD2.pdf,
234,storage/iniciativas/228-INIC-ALIMENT-PRD.pdf,
235,storage/iniciativas/229-INIC-CONST-PRD.pdf,
236,storage/iniciativas/230-INIC-CONSTIT-PRD.pdf,
237,storage/iniciativas/231-INIC-CONSTITUC-PRD.pdf,
238,storage/iniciativas/232-INIC-COD-ADM-PRD.pdf,
239,storage/iniciativas/233-INIC-CONST-PRD.pdf,
240,storage/iniciativas/234-INIC-COD-PENAL-PRD.pdf,
241,storage/iniciativas/235-INIC-CONSTITUC-PRD.pdf,
242,storage/iniciativas/236-INIC-COD-PENAL-PRD.pdf,
243,storage/iniciativas/237-INIC-CONSTITUC-PRD.docx,
244,storage/iniciativas/238-INIC-JUVENTUD-PRD.docx,
245,storage/iniciativas/239-INIC-COD-PENAL-PRD.docx,
246,storage/iniciativas/240-INIC-COD-PENAL-PRD.docx,
247,storage/iniciativas/241-INIC-COD-PENAL-PRD.docx,
248,storage/iniciativas/242-INIC-ADULTO-PRD.docx,
249,storage/iniciativas/243-INIC-NIÑAS-PRD.docx,
250,storage/iniciativas/244-INIC-COD-ELECT-PRD.docx,
251,storage/iniciativas/245-INIC-ALIMENTOS-PRD.docx,
252,storage/iniciativas/246-INIC-VIOLENCIA-PRD.docx,
253,storage/iniciativas/247-INIC-COD-PENAL-PRD.docx,
254,storage/iniciativas/248-INIC-CODIGO PENAL-PRD0.docx,
255,storage/iniciativas/249-INIC-CONSTITUC-PRD.docx,
256,storage/iniciativas/250-INIC-LOMPAL-PRD.docx,
257,storage/iniciativas/251-INIC-CONSTITUC-PRD.docx,
258,storage/iniciativas/252-INIC-CONSTITUC-PRD.docx,
259,storage/iniciativas/253-INIC-FOMENTO-PRD.docx,
260,storage/iniciativas/254-INIC-COD-ADM-PRD.docx,
261,storage/iniciativas/255-INIC-COD-ADM-PRD.docx,
